English	Slang	Usage
Shitter (rectum)	Gary Glitter	He kicked him right up the Gary [Thanks to Neil Churchard]
Shitter (toilet or rectum)	Rick Whitter	Back in a sec - I'm off to the rick [Rick Whitter is a singer in the group Shed7 - thanks to Dan Collins and Keith Uden]
Shocker	Barry Crocker	That's a Barry Crocker [Barry Crocker is an Aussie performer - thanks to Dan McGivern]
Shocker	Costantino Rocca	Played a round of golf yesterday - had a complete Costantino [Costantino Rocca is an Italian golfer - thanks to Christian Martinsen]
Shoe	Scooby Doo	Where are me Scooby's? [Thanks to Mark Chinery & Michael Lloyd]
Shoe	Ghost (Boo)	Get yer ghosts on [Thanks to Richard Lee]
Shoes	One and two's	Where's me one 'n two's? [Thanks to John Ioannou]
Shoes	St. Louis Blues	'e's got himself a new pair of St. Louis' [Thanks to Doug Sammons]
Shoes	Rhythm and Blues	Get your rhythm and blues on [Thanks to Jack Summers and Neil Devlin]
Shoes	Yabba-Dabba-Doo	Nice pair of yabba’s mate [For them what don’t have a classical education, “Yabba-Dabba-Doo” was the catch phrase of Fred Flintstone.  Thanks to Jon Evans]
Shout (round)	Wally Grout	It's your wally, mate (ie. It's your turn to buy a round of drinks). [Wally Grout was an Australian cricketer who died in 1968 - Thanks to Mark Redding]
Shower	David Gower	I'd just got out of the David Gower [Thanks to Mark Crowe - David Gower is an English cricketer]
Shower	Eiffel Tower	I’m going for an Eiffel Tower.
Sick	Moby Dick	I'm feeling a bit Moby today. [Thanks to Elaine MacGregor]
Sick	Spotted Dick	We don’t have a goalie – John’s spotted [Spotted Dick is a dessert make with raisins – thanks to Andrew Black]
Sick	Tom and Dick	He's feeling a bit Tom. [There is also an expression "Feeling a bit dicky" as in not quite right that comes from this slang.  Paul Morgan says that it’s also used as “Bob and Dick”]
Sick	Uncle Dick	I can't come out tonight - I'm feeling a bit Uncle Dick [Thanks to Chris Keeley]
Sight	Website	Get out of me website [Thanks to Antony Kennedy who says this was taken from the Human Traffic film]
Silly	Daffy Down Dilly	'e's a bit daffy. [Daffy Down Dilly is a line of dolls from Madam Alexander. Thanks to Peter Bendall]
Silly	Piccadilly	I've always said he was piccadilly [Thanks to Martin McKerrell]
Simple	Dolly Dimple	She’s a bit Dolly Dimple [Thanks to Simon Mahon]
Sister	Skin and Blister	She may be his blister but she's nothing like him.
Six	Tim Mix	He rolled a Tom Mix [Thanks to Jude Saffron who says this expression is common in casino's when referring to dice games]
Skin (cigarette paper)	Vera Lynn	Got any vera's? [Thanks to Paul Cheese]
Skint (broke)	Borassic Lint	He's right boric. [Thanks to Peter Langdale who's a chemist in the UK for correcting this one]
Skint (broke)	Larry Flint	I'm completely larry mate [Larry Flint is an American publisher of adult magazines.  Thanks to Rob Haynes]
Skint (broke)	Polo Mint	I'm polo'd [Thanks to Kieran Cooney]
Slag (prostitute)	Oily Rag	She's a bit of an oily rag [Oily Rag is also slang for fag (cigarette).  One can't help but wonder how many times a simply "Can you spot me an oily?" might have been misinterpreted.  Thanks to Matthew Wilson]
Slag (prostitute)	Toe Rag / Tow Rag	She’s a right toe rag [Thanks to Chris Roberts.  Mike Lyons adds: It should be 'Tow Rag'.  When a car towed another in times past, (broken down car) behind it, it was/is common practice to tie a piece of rag halfway along the rope between the two vehicles. This was to indicate the rope's presence to pedestriams, particularly when stopped in traffic. (i.e. to stop people tripping over it when walking between the cars).  As this piece of rag was literally dragging or 'always in' the dirt all the time, it was compared with someone who was shifty, untrustworthy, criminal, loafer, a general 'low life'.  Such a person was called a tow rag, example "don't trust him, he's a bit of a tow rag".]  Thus, a tow rag could refer to a male or female of dubious character.
Slap	Watford Gap	I’m gonna give you a Watford ‘round yer chevy [Thanks to Glenn Buss]
Slash (piss)	Pat Cash	I'm absolutely dying for a Pat Cash [Thanks to Bryan Rowe]
Slash (piss)	Pie and Mash	I’m poppin’ out for a pie and mash [Thanks to Paul Ingram]
Sleep	Bo-Peep	What I need is a good bo-peep. [Thanks to Bernie Albert]
Sleep	Sooty and Sweep	You need a bit of sooty [Thanks to John Gowland]
Smell	Aunt Nell	He don't half Aunt Nell [Thanks to Jo Miller]
Smoke (cigarette)	Laugh and Joke	I’m going for a laugh [Thanks to Winston Gutkowski]
Sneeze	Bread and Cheese	I hate allergies - one good bread after another.
Snide	Jeckyll and Hyde	‘e’s a bit Jeckyll [Thanks to Simon Mahon]
Snout (cigarette)	Salmon and Trout	'Ere mate, give us a salmon, I'm right out. [Thanks to Peter Cotterell] [If you know where the expression 'snout' for cigarette comes from I'd like to include it][ [Martin McKerrell has written that Snout comes from snout rag meaning handkerchief (I'm thinking snot rag - JA) so Snout Rag = Fag = cigarrette. Also, Richard Beveridge has suggested that the term snout comes from prison life when the prisoners, who would take their daily exercise in silence, would signal a tobacco supplier that he needed cigarettes by touching his nose.] - See "ins and outs"
Snouts (Cigarettes)	Ins and Outs	'ere mate, got any ins and outs? [Thanks to James Hotston] (See Salmon and Trout)
Soap	Cape of Good Hope	Go wash yourself - and use the cape.
Soap	Faith and Hope	Where's the faith and hope, I wanna wash me 'ands [Thanks to Mike Smith]
Socks	Almond Rocks	Wouldn't it be nice if your almonds matched?
Socks	Bombay Docks	Anyone seen me bombays? [Thanks to Julie Lanham-Hathaway.  Phil Diaper suggests the expression is actually Tilbury Docks]
Socks	Joe Rocks	Pull yer Joe's up [Thanks to Jim Hyde]
Son	Currant Bun	He's awfully proud of his currant.
Song	Ding Dong	Everyone gather round the piano for a ding dong. [Usually the full slang expression is used]
Soup	Loop de Loop	Nothing like a good loop on a cold day.
Spanner (wrench)	Elsie Tanner	Can I borrow your elsie [Thanks to Alan Little]
Sparrow	Bow and Arrow	Little bow and arrow fell out of the nest. [Usually the full slang expression is used]
Speak	Bubble and Squeak	I won't bubble [Thanks to Justyn Olby who credits John Le Carre's book "Night Manager"]
Specs (spectacles)	Gregory Peck	Where’s me gregs [Thanks to Marcia Woodman]
Specs [Spectacles)	Mikkel Becks	Where did I put me Mikkel's? [Thanks to Mark Crowe - Mikkel Beck is a footballer]
Splinter	Alan Minter	Picked up this wood and got a terrible Alan in me finger [Thanks to Barry Greenaway. Alan Minter is a British boxer with a current record of 39-9 (23 by KO)]
Spoon	Daniel Boone	Pass me a daniel [Thanks to Andy Powell]
Spoon	David Boon	Pass me that David Boon [Thanks to Mark Crowe - David Boon is an Australian cricketer]
Spot (acne)	Randolph Scott	I've got a great big randolph on my chin [Thanks to Matt Stammers]
Spouse	Boiler House	Me boiler's always yammerin' on. [Thanks to John Butt]
Sprouts	Twist and Shouts	I love bubble and squeak made with Twist and Shouts [Thanks to Mike Leith]
Spunk (semen)	Harry Monk	This glue's as sticky as a load of Harry [Harry Monk was an old music hall entertainer. Thanks to Jon Bard]
Spunk (semen)	Pineapple Chunk	Is that laundry powder on your jeans?  Looks like pineapple chunks to me [Thanks to Tom Dowling]
Stairs	Apples and Pears	Get yourself up the apples and pears.
Stairs	Daisy Dancers	Get yerself up the daisy dancers [This one's a bit convoluted: Daisy Dancer = Dancing Bears = Stairs. The daisy dancer reference is a twist on the Dancing Bears=Stairs slang. Thanks to Mike Tombs]
Stairs	Dancing Bears	Get yerself up the dancing bears [Thanks to Mike Tombs]
Starved	Pear Halved	"Lunch in a bit?" "Yeah, I'm a bit pear." [Thanks to Richard English]
Starvin'	Hank Marvin	I'm bloody Hank Marvin. I haven't eaten all day [Hank Marvin was the guitarist for The Shadows from the 1960's to the 1990's. Thanks to Neil Churchard]
Starvin'	Lee Marvin	I'm Lee Marvin [Thanks to Peter Conway who wrote all the way from Dubai - he adds that if you're really hungry you could say, "I'm Hank, and his brother Lee". Lee Marvin was an American actor. See other entry for starvin' (Hank Marvin). And no - they're not related.]
State (anguish)	Two and Eight	He's in a two and eight over it. [Usually the full slang expression is used]
Steak and Kidney	Kate and Sydney	A lovely Kate and Sydney pie [Not really rhyming slang - more a matter of getting your mords wixed up]
Stella (beer)	Nelson Mandelas	A couple of nelsons please [Thanks to Alan Little. Stella refers to Stella Artois]
Stella (beer)	Paul Weller	Give us a Paul Weller [Thanks to Gary Williams - Paul Weller is (or was) a musician with The Jam. Stella refers to Stella Artois]
Stella (beer)	Uri Geller	Mines a Uri [Thanks to Martin Harrison]
Stella Artois (beer)	Ooh Aah	I’ll have an ooh aah [Thanks to Steve Kensington]
Stench	Dame Judy Dench	A right Dame Judy in here [Thanks to Dean Cavanagh]
Stick (walking)	Hackney Wick	I've forgot me hackney wick back at the last pub [Thanks to Alan Rawling]
Stink	Pen and Ink	That's a bit of a pen and ink.
Story	Jackanory	Ye late! What’s the jackanory then? [Thanks to Podster]
Stout (beer)	Salmon and Trout	Stop by and have a salmon.
Stranger	Queen’s Park Ranger	Who’s that Queen’s Park Ranger standing over there? [Thanks to Danny Robinson]
Stranger	Texas Ranger	This pub is full of Texas Rangers these days [Thanks to Danny Robinson]
Stray	Gamma Ray	That Mary's a bit of a gamma [Thanks to Dan Collins and Keith Uden]
Street	Field of Wheat	He out standing in the field, waiting for a bus.
Strides (trousers)	Donkey Rides	He's wearing black donkeys [Thanks to Keith Cole]
Strides [trousers)	Jekyll and Hydes	Just bought a new pair of Jekylls
Stripper	Jack the Ripper	I love me jack the rippers [Thanks to John Ioannou]
Strong	Ping Pong	I need a ping pong drink [Thanks to Chris Keeley]
Sub (pay advance)	Rub a Dub	Guvnor Give us a rub a dub till pay day. [Thanks to Ray Davis]
Subaru	Scooby-Doo	Let's have a go in ya scooby-doo [Thanks to J. Mulroy]
Suit	Bag of Fruit	He turned up dressed in a bag [Thanks to Bill Smith who quite rightly points out that while Whistle and Flute can refer to a nice looking suit, Bag of Fruit depicts a very different image of an old and shapeless suit]
Suit	Bowl of Fruit	Are you wearing your bowl of fruit tonight? [Thanks to Brad Spencer]
Suit	Tin Flute	I’ll be wearing me tin flute [Thanks to Duncan Whitesmith]
Suit	Whistle and Flute	He bought himself a new whistle for the wedding.
Sun	Current Bun	Old current bun's out today [Thanks to Ray Davis.]
Supper	Tommy Tucker	You can sing for your Tommy.
Sweetheart	Treacle Tart	She's a right treacle [Thanks to Kate Odgers - note that there is reportedly a negative connotation for this expression, meaning a woman of easy virtues, but it's not very commonly used]
Table	Cain and Abel	Sit yourself at the cain and I'll bring you your Tommy (Tommy Tucker - supper).
Tablet (pill)	Gary Ablett	He was off his nuts on the old Gary Abletts wasn't he [Gary Ablett was a footballer in the 80's - thanks to Majik Khan]
Tail	Alderman's Nail	He's always wagging his alderman's.
Talk	Rabbit and Pork	He's always rabbitting on about something [Andrew Black says his sister used to say he had “too much bunny” (or more rabbit than Sainsbury’s!).  You can be sure that wasn’t a compliment]
Talker	Murray Walker	She’s a real murray – just can’t get her to shut up! [Thanks to Tony Kibble]
Tan	Peter Pan	I’m off to the pool to top up me peter pan. [Thanks to Lee Henderson]
Tanner (sixpence)	Sprarsy Anna	Lend us a sprarsy - I wanna get some toe-rags (cigarettes) [Thanks to Mike Smith - he wonders if Sprarsy might have something to do with the old Indian coin called an "anna". If you have any more info please let me know]
Tart	Kick Start	Is this a lads night or are we taking the kicks [Thanks to Tony Merrington]
Taxi	Joe Baxi	Mind if I share your Joe Baxi? [Thanks to Mike Doles. William Coward says Joe Baxi was a heavyweight boxer who knocked out British champ George Woodcock around 1950.]
Tea	Half Past Three	Where’s me bleeding cuppa arf past? [Thanks to Simon Buckridge]
Tea	Rosy Lee	I've just put the rosy on.
Tea	You and Me	Fancy a cup of you and me? [Thanks to Barry Greenaway]
Tears	Britney Spears	She's off doing a Britney [Thanks to Jade]
Teeth	Edward Heath	He got smacked in the Edwards [Thanks to John Curtis-Rouse.  Edward Heath was PM in the early 1970’s]
Teeth	Hampstead Heath	His hampsteads (hamps) are a crime.
Telly (TV)	Custard and Jelly	As usual, nothing on the custard tonight.
Telly (TV)	Liza Minelli	What’s on the Liza? [Thanks to Yorgos Elissaios]
Ten	Cock and Hen	I didn't get much change back from a cock [Thanks to Peter Cotterell]
Tenner (£10)	Paul McKenna	I’m don to me last Paul McKenna [Thanks to Richard Hall.  Paul McKenna is a famous hypnotist]
Tenner (10 pound note)	Ayrton Senna	'ere, lend us an ayrton me old china [Ayrton Senna was a Formula One driver - thanks to Tom Harvey]
Tenner (10 pound note)	Louise Wener	'ere, lend us a louise. [Louise Wener is a singer with the band Sleeper - thanks to Richard English]
Thief	Tea Leaf	He's always been a bit of a tea leaf. [Usually the fully slang expression is used]
Think	Cocoa Drink	I should cocoa [Said in a somewhat facetious manner, this phrase actually means "I should think not" - thanks to Kathryn Polley]
Thirst	Geoff Hurst	I've got a Geoff on tonight [Sir Geoff Hurst was the only footballer to score three goals in a World Cup final. Thanks to Graham Todd]
Throat	Billy Goat	I've got a sore billy goat [Thanks to Paul Robinson]
Throat	John O’Groat	‘e cleared his groat whilst wiping his mincers with ‘is germans [Thanks to Mike Basquill]
Throat	Nanny Goat	Get that down your nanny [Thanks to Chris Roberts]
Throat	Weasel & Stoat	'is weasel's playing him up [Thanks to Roy Sharp.  See also Coat]
Thunder	Crash & Blunder	What a storm!  Did you hear the crash and blunder [Thanks to David Reynolds]
Ticket	Bat and Wicket	I've got a bat for tonight's train.
Ticket	Wilson Picket	I want to go to New York, but I can’t afford the wilsons [Thanks to Tony Merrington]
Tie	Peckham Rye	I'm putting on me best whistle and me new peckham. [Thanks to Martin McKerrell]
Till (Cash register)	Jack & Jill	'E got nicked with 'is 'ands in the old jack and jill [Thanks to Martyn Tracy]
Time	Bird Lime	What's the bird?  [Also commonly used to refer to doing time, as in prison.  Thanks to John Gowland]
Time	Harry Lime	What's the Harry Lime? [Thanks to Barry Greenaway. Harry Lime is a character in 'The Third Man']
Time	Lemon & Lime	Oi mate - what's the lemon & lime [Thanks to Anonymous]
Tit (breast)	Brad Pitt	Nice pair of brads [Thanks to Justyn Olby]
Tits (breasts)	Ballroom Blitz	She’s got marvellous ballrooms [Ballroom Blitz is a song by a group named Sweet - thanks to David Rolph]
Tits (breasts)	Brace and Bits	Blimey - what a brace!
Tits (breasts)	Eartha Kitts	Nice Eartha's [Thanks to Louis and Natalie Brink]
Tits (breasts)	Fainting Fits	Wouldn’t mind getting me germans on her faintings [Thanks to Phil Woodford]
Tits (breasts)	Thr'penny Bit	Look at the Thr'penny's on her. [Thank to David Carruthers]
Titties (breasts)	Bristol Cities	She's got a lovely pair of Bristols.  [BristolPirate2003 (I'm assuming a nom de plume) sent the following:  The saying goes back hundreds of years from when sailors sailed to the "New World", between Bristol, England (the second largest port outside of London at the time) and the USA, traveling on to the tobacco plantations at Bristol, Virginia.
It was known as, "Going between the Bristol's" and became a sexual reference for what sailors would do to their women folk on returning to dry land!.
Titty (breast)	Walter Mitty	She's got a lovely set of walters [Thanks to Dean Cavanagh]
Toast	Holy Ghost	How about another round of 'oly. [Thanks to Jack Summers]
Toe	Bromley by Bow	You might want to fight, but I'm going to have it on me bromleys [ie. run away.  Thanks to David Aqius]
Toker	Al Roker	That guy is an Al [Thanks to Andrew Backs]
Tonic	Supersonic	How about a nice Vera and super (Gin & Tonic) [Thanks to Vaughan Hully]
Toss	Kate Moss	I couldn't give a Kate Moss. [Thanks to Alex Marsh]
Towel	Baden Powell	'ere, wrap a baden powell around you.  Nobody wants to see that! [Thanks to Lord Russell Grineau]
Train	Michael Caine	I missed me Michael [Thanks to Mike Hale]
Trainers (running shoes)	Claire Rayners	I've got me new Claire Rayners on [Thanks to John Tsang - Claire Rayner is an author]
Trainers (running shoes)	Gloria Gaynors	That's a nice pair of Gloria's [Thanks to John Ioannou]
Tramp (hobo)	Paraffin Lamp	I gave me last apple to that old paraffin [Thanks to Kevin Moynihan]
Tramp (hobo)	Thirteen Amp	Look at that bunch of thirteen amps over there. [Thanks to Steve Vincent - thirteen amps is the standard electrical receptacle in Britain]
Trouble	Barney Rubble (Flintstones)	Stay away from him. He's right Barney.
Trousers	Lards	‘e was caught with ‘is lards down [Lards is from Callards & Bowsers, makers of fine toffee’s.  Thanks to Duncan Reed.  Lenny has noted that often the full expression, i.e. "'e was caught with his callards down" is used to avoid confusion with lardy meaning cigar (la-di-da).]
Trousers	Round the Houses	'e's got hisself a new set of round the houses [Thanks to Christopher Webb.  Also used is "Council Houses" as in "'is councils haven't seen an pressing this year" - thanks to Gary Chatfield]
Turd (shit)	Douglas Hurd	I need to dump a Douglas [Thanks to Mathew Dalton.  Douglas Hurd is a politician.]
Turd (shit)	Richard the Third	He's a bit of a Richard. [Thanks to Ray Davis. Elaine MacGregor reports that this is also used as in "I'm just going for a Richard".  Andrew notes that sometimes Edward the Third is also used.]
Umbrella	Auntie Ella	Wonderful - it's starting to rain and me without my Auntie Ella.
Voice	Hobson's Choice	What's the matter with 'is 'obsons [Thanks to Roy Sharp]
Vomit	Wallace and Gromit	One more pint and I’ll Wallace, mate [Thanks to Mark Holmans]
Wages	Greengages	I've blown the greengages down at the dogs [Thanks to Mike Smith]
Walk	Ball of Chalk	After a heavy meal I like quick ball round the square.
Wank (masturbate)	Armitage Shank	He's havin' an armitage [Thanks to Ben Dear - Armitage Shank are makers of fine porcelain bathroom fixtures]
Wank (masturbate)	Jodrell Bank	Just off for a Jodrell [Jodrell Bank was the site of a University of Manchester botanical station, about 20 miles south of Manchester, back in the 1940's. Today, Jodrell Bank is a leading radio astronomy facility. Thanks to P Loynd]
Wank (masturbate)	Barclays Bank	He's having a barclays. [Thanks to Peter Cotterell]
Wank (masturbate)	J. Arthur Rank	'e's off having a J. Arthur [Thanks to Mike Dowding and Sparky James]
Wank (masturbate)	Lamb Shank	'e's having a lamb [Thanks to Alan Heard]
Wank (masturbate)	Midland Bank	I'm going for a midland [Thanks to Jonathan Harris]
Wank (masturbate)	Peddle and Crank	I'm off for a peddle! [Thanks to Aziz McMahon]
Wank (masturbate)	Sherman Tank	e's a right sherman [Thanks to David Hughes]
Wank (masturbate)	Tommy Tank	She's probably at home doing a tommy. [Thanks to Barbara Wilson – from Thomas the Tank Engine, a child's program]
Wanker	Cab Ranker	'e's a bit of a cab ranker [Thanks to Steve Tuffin]
Wanker	Kuwaiti Tanker	He’s a bit of a Kuwaiti tanker [Thanks to Daryl Egerton]
Wanker	Merchant Banker	He's a right merchant [Thanks to Justyn Olby]
Wanker	Ravi Shankar	That referee is a right Ravi [Thanks to Justin Ellis]
Wanker	Sefton Branker	He’s a right Sefton Branker [Thanks to Paul Lundy – Sefton Branker was a Major, and later Air Vice Marshall, who was posted to India in the early 20th century]
Wanker	Swiss Banker	He’s a bit of a swiss banker [Thanks to Morris Childers]
Wanks	Gordon Banks	They’re a bunch of gordons [Thanks to Paul Island]
Watch (fob watch)	Kettle and Hob	That's a lovely kettle [Thanks to Mark Sparrow. I got the following from Dudley who wondered about the connection between a kettle and a watch - he passed on the following story:

It was commonplace for everyone to wear a pocket watch and chain in the waistcoat & it was also equally commonplace for the watch to be in the pawn shop as an interim loan security - however no one was keen for people to know that this situation was necessary, so the chain would be kept and worn as normal. In the kitchens of the day the fire would be an open one and there would be a bar or hook above it from which a length of chain would be secured and from there the kettle would be suspended above the fire to boil. So with this in mind, if the pocket watch chain, with no weight on it to hold it in the pocket, fell out and dangled minus the missing watch, there would always be some clever Charlie ready to pipe up "What's that for then, your bleedin' kettle?"

Dave Walker provided the following:  The origin of "kettle" comes from illicit spirit making, distilled in what were large coppers known as kettles, hence, kettle of scotch = watch. I have always understood this to be the true origin, and it does rhyme, after all.
Water	Ten Furlongs (Mile and a quarter)	I'll have a gold watch and ten [Thanks to Del Sinnott]
Web Site	Wind and Kite	Check out me wind and kite [Thanks to Mark Holmans]
Weight	Pieces of Eight	She'd better watch her pieces of eight [Thanks to Dave Connolly]
Whisky	Gay and Frisky	I'll have a gay and I'm off. [Be careful where you use this]
White Wine	Plink Plonk	Open a bottle of plonk [The rhyme here is a bit convoluted – Plink Plonk rhymes with Vin Blanc which is, of course, a white wine.  Thanks to Claire Reed]
Whore	Four by Four	She’s a bit of a four by four [Thanks to Dave Collard]
Whore	Roger Moore	I was trying to get my trousers back on, and the dirty roger is running up the street with my wallet [Thanks to Mark Adams]
Whore	Thomas Moore	She a right Thomas [Thanks to Pete Masters]
Wife	Duchess of Fife	Now my old dutch, where are we off to tonight?
Wife	Trouble and Strife	I'm taking my trouble dancing tonight.
Wig	Irish Jig	I think that blokes wearing an Irish [Thanks to Martin Elliot]
Wig	Syrup of Figs	What a syrup. [Thanks to Mark Pearson]
Window	Burnt Cinder	Close the bloody burnt [This works if you mispronounce window... winda - and cinder... cinda as any good Englishman would. Thanks to Sparky James]
Windshield Wiper	Billie Piper	You’d better put your billies on [Billie Piper is a pop singer - Thanks to Deane]
Windy	Mork and Mindy	Cor, it's bloody mork today [shows you that the slang is constantly evolving - thanks to Alan Little.  Can also refer to someone who is a bit windy - "Don't feed him brussel sprouts again - he gets all Mork & Mindy" - thanks to Sparky James]
Wine	Porcupine	Where’s the porc waiter [Thanks to Tony Merrington]
Word	Dicky Bird	He left without so much as a dicky.
Wrong	Falun Gong	It seems to have all gone a bit falun gong [From semi-obscure evil Chinese cult with tendency to inaccuracy, therefore appropriate.  Thanks to Keith Hale]
Wrong	Pete Tong	It's all gone a bit Pete [Pete Tong is an English DJ - thanks to Dan Collins and Keith Uden]
Yank	Septic Tank	He's not very bright... septic, you know. [Thanks to Peter Langdale for this one.  Tony Alderton reports that this can also be shorted to Sepo]
Yank	Wooden Plank	Then this wooden bloke walked in [Thanks to Ian Coppell]
Yawn	Johnny Vaughn	Can’t hold back a good Johnny [Johnny Vaughn was the star of The Big Breakfast – thanks to Will Sowden]
Years	Donkey's Ears	Ain't seen you in donkeys mate. [Thanks to Ossie Mair]
Yid	Front Wheel Skid	Old Mikey's a front wheel [Thanks to Jan.  Note that this expression is considered offensive]
